"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1073397360","Soma Story OT","3"
"1083498372","Downtown Endodontics","3"
"1093599375","Behaviorality","3"
"1124549613","Arnicare Villa","3"
"1124549613","Crossroads Home Care","3"
"1144004425","Georgia Real Care, LLC","4"
"1205610581","Back in Action Chiropractic Center","3"
"1245986876","Wible Pharmacy","3"
"1255115549","Wisteria Caregivers","3"
"1265216543","The Untitled Mind Ketamine & Psychiatry","3"
"1265216550","Global MH Services","3"
"1306620687","Mitchell's Discount Drug","3"
"1356125645","Keen Eye Optometry","3"
"1356125652","Prestige Cosmetic Dermatology","3"
"1407630700","KNEMT","3"
"1417731720","Total Body Solutions Physical Therapy","3"
"1497539704","Speech-ish","3"
"1578347860","ATC premier Labatory","3"
"1629852926","Made to Move Physical Therapy LLC","3"
"1669256954","Soileau Partners Psychotherapy","3"
"1790569085","Mending Minds Mental Health Services LLC","4"
"1811608250","VIPcare","3"
"1861276156","Bella Vida Wellness","4"
"1871235077","The Pilot Clinic","3"
"1891579199","BackSmith Chiropractic","3"
"1912780750","Katharine Dickinson LICSW","3"
"1952185241","Lifestyle Psychiatry and Wellness","3"
"1083498216","We Are In This Together LLC","3"
"1124802442","Integrity Youth Homes, LLC","3"
"1205610433","Brandy Boyer Counseling","4"
"1255115481","Evolve: A Behavioral Health Center","3"
"1316721558","Frederick Health Physical Therapy and Sports Rehab","3"
"1366226599","Banyan Wellness","3"
"1568246791","Blessed Hearts Home LLC","3"
"1588448807","Bethel Park Elementary","3"
"1699559823","Frederick Health Imaging","3"
"1790569929","Frederick Health Imaging","3"
"1902680127","Achieving Tranquility Mental Health Services PLLC","3"
"1942084173","Trusting In Hands","4"
"1013408301","Smile Partners of Charleston LLC","4"
"1033880919","BBD Psychiatry Group, PLLC","5"
"1063422715","BJC Home Infusion Therapy","3"
"1114701364","Allure Enterprises","3"
"1154105393","V&G Cosmetic Dentistry","5"
"1154331809","BJC Home Medical Equipment","3"
"1184683401","East Bay Peritoneal Dialysis Center","3"
"1205610458","DENTISTS OF OLD TORRANCE","3"
"1235198797","Kenneth Hahn Plaza Dialysis Center","3"
"1235912692","Tallahassee Orthopedic Clinic","3"
"1265216402","Ashley Wellness Center Pharmacy","3"
"1316162795","Urology Nevada","3"
"1356726301","J.A.K. LLC","5"
"1376025577","ABS Transitions","4"
"1407019482","Addus HomeCare","3"
"1487908323","BayCare Outpatient Imaging","3"
"1487944294","George's Family Pharmacy, Inc.","3"
"1497977714","North Little Rock Dialysis Center","3"
"1578347712","Blue Ridge Physical Therapy","3"
"1578502548","AdaptHealth","3"
"1679791677","Therapeutic Family Life","3"
"1699937235","St Anthonys Pet/CT Center","3"
"1790489631","Patient First - Annandale","3"
"1821871849","KIDS CHEST & SPINE INC","3"
"1831973072","FAMILY CARE CENTER","3"
"1841952330","Wellness @ EDP LLC","5"
"1851499453","University Health- University Hospital Discharge Pharmacy","3"
"1851499453","University Health System- University Hospital Outpatient Pharmacy","5"
"1851741359","Santa Fe Family Health Center","3"
"1861632978","Complete Hospice Care of Southern Oklahoma","3"
"1891040077","Compass Health, Inc.","3"
"1891705547","BJC Hospice","3"
"1891709192","ADVENTHEALTH AVISTA","3"
"1891709192","Centura Health - Avista Adventist Hospital","3"
"1902277445","East Tallahassee Home Training","3"
"1942084199","Aspirus Perinatology Clinic","3"
"1962042499","Avista Surgery Center","3"
"1013272137","BHS - General Surgery - Victor Nieto, MD","3"
"1023478237","BHS Endocrinology Associates","5"
"1033993316","A1 Transportation","3"
"1053799221","BHS Pulmonary Associates","3"
"1073219770","LIFE INTENSITY COUNSELING & CASE MANAGEMENT","4"
"1083339741","LVPG Gastroenterology - Hecktown Oaks","3"
"1083339741","LVPG Gastroenterology - Steamtown","3"
"1104124916","Slippery Rock Family Medicine Division","3"
"1114343282","Ginger Pharmacy LLC","3"
"1154514982","Butler Hospital Care Associates","3"
"1154909323","CHN Pharmacy #300","3"
"1174030860","Thrive At Home","3"
"1205610466","Alliance Family Health Center Pharmacy","3"
"1225192883","BJC Home Medical Equipment","3"
"1245976992","NATIONAL MEDICAL REHABILITATION","5"
"1245976992","NATLMEDICAL REHABILITATION","5"
"1265072706","Southlands Breast Care & Therapy Center","3"
"1316252463","BJC Hospice","3"
"1376714709","IronHorse Family & Cosmetic Dentistry","3"
"1386338820","Pamela's Concierge Primary Care","3"
"1386651297","ADVENTHEALTH PARKER","3"
"1386651297","Centura Parker Adventist Hospital","3"
"1407432107","Tropical Health Hospice of Georgia","3"
"1417601808","IronHorse Family and Cosmetic Dentistry","3"
"1497538334","RT MedMobile","3"
"1619346111","Champion Orthopaedics, LLC","3"
"1689688988","ADVENTHEALTH LITTETON","3"
"1689688988","Centura Littleton Adventist Hospital","3"
"1710760046","Mid Coast Medical Center Crockett","3"
"1740820356","Southlands Emergency/Urgent Care","3"
"1790568152","Tallahassee Orthopedic Clinic","3"
"1801800594","ADVENTHEALTH PORTER","3"
"1811771082","Mental Health Monarchs","3"
"1821872094","Fraum Center for Restorative Health","3"
"1821872094","Fraum Chiropractice Life Center","3"
"1861276024","Athletico Physical Therapy","3"
"1912189291","d/b/a Dublin Hyperbaric and Wound Consultin","3"
"1912249590","ADVENTHEALTH CASTLE ROCK","3"
"1912249590","Centura Health-Castle Rock Adventist Hospital","3"
"1912521295","Thrive at Home","3"
"1952361370","Germantown Dialysis","3"
"1992109094","Champion Orthopaedics","3"
"1992486302","Perthera, Inc.","5"
"1023892205","TaylorMade Eyecare","4"
"1023892213","Dynamic Counseling","3"
"1063418424","Memorial Regional Health","3"
"1063497998","Haralson Behavioral Health Services","3"
"1083343511","WCRP-Torrance","3"
"1235489857","Progressive Dental Group","3"
"1265216451","David Raines Community Health Center- Mobile Medical Unit # 2","3"
"1275317455","David Raines Community Health Center- Mobile Medical Unit #1","3"
"1306620588","UHSB Ambulance Services","5"
"1316514888","Memorial Regional Health","3"
"1316514888","Craig Specialty Clinic","5"
"1336923515","Quik Scripts","3"
"1346568367","Carthage Dialysis","3"
"1407429087","Hope Awakened Counseling","3"
"1437859832","New Jersey Heart and Vein","5"
"1437933629","Happy as a Mother Inc.","4"
"1497763262","ADVENTHEALTH PORTER","3"
"1497763262","Centura Porter Adventist Hospital Psych Unit","5"
"1528608056","Mile High Oncology","3"
"1528842713","LIGHTFULLY BEHAVIORAL HEALTH","3"
"1548800154","West Littleton Emergency/Urgent Care","3"
"1558592329","BEXAR HOME HEALTH","3"
"1568173037","Endeavor Youth & Family Services","3"
"1568573442","Porter Hospice","3"
"1588780423","Haralson Behavioral Health Services","3"
"1598700718","TOWN AND COUNTRY DRUGS","3"
"1639802572","Capstone Sleep Solutions","3"
"1659155844","Lightfully Behavioral Health","3"
"1679275846","LIV Recovery Center","3"
"1710080171","PORTER HOSPICE RESIDENCE","3"
"1710080171","Porter Hospice at the Johnson Center","3"
"1710761903","Harris Care Medical Supply Corp","4"
"1720628332","South Denver Heart Center","3"
"1750942967","Southwest Vegas Smiles","3"
"1760022297","Cypress Oncology at Parker","3"
"1801670088","Almost Angels","3"
"1801670088","Homeward Bound","3"
"1821028168","Haralson Progressive Industries","3"
"1821638354","Cypress Oncology at Denver","3"
"1831973015","St Paul & Biddle Medical Associates","3"
"1902922842","Haralson Behavioral Health Services","3"
"1932983111","New U Holistic Therapies & Doula Services","3"
"1942343892","Haralson Behavioral Health Services","3"
"1952995748","Momentum Chiropractic","3"
"1962597039","Christina Brown & Associates, Inc.","4"
"1992484430","The Therapy Office","3"
"1033755426","SSM Health Bone & Joint OSOI Midtown","3"
"1053195263","Revitalize Counseling & Consulting, LLC.","3"
"1124802327","H2 Health","3"
"1144580150","Family Medicine Faculty Physicians","3"
"1205546165","Ellie Mental Health of Columbia","3"
"1225674617","SSM Health Bone & Joint OSOI East","3"
"1235775628","SSM Health Bone & Joint OSOI South","3"
"1235775628","SSM Health Medical Group Healthplex South Specialty Clinic","3"
"1255115531","Facilitating Opportunities Choices & Unique Services LLC","4"
"1275317380","Off Script Therapies","3"
"1275317380","Off Script Speech Therapy PLLC","4"
"1457134611","AV Chiropractic Health Center","3"
