"NPI","Provider Secondary Practice Location Address- Address Line 1","Provider Secondary Practice Location Address-  Address Line 2","Provider Secondary Practice Location Address - City Name","Provider Secondary Practice Location Address - State Name","Provider Secondary Practice Location Address - Postal Code","Provider Secondary Practice Location Address - Country Code (If outside U.S.)","Provider Secondary Practice Location Address - Telephone Number","Provider Secondary Practice Location Address - Telephone Extension","Provider Practice Location Address - Fax Number"
"1598395113","812 S Grand Ave","","Los Angeles","CA","900174610","US","2136277925","",""
"1679011779","2000 Preserve Lake Dr Ste D","","Covington","LA","704335340","US","9852051441","",""
"1518665322","3 e Evergreen Rd Suite 101 PMB 938","","New City","NY","109561921","US","","",""
"1093037640","1100 Allied Dr","","Plano","TX","750935348","US","4698143566","",""
"1164016663","13800 Veterans Way","","Orlando","FL","328277401","US","4076310100","",""
"1821872102","16001 W 9 Mile Rd","","Southfield","MI","480754818","US","2488493000","",""
"1922703214","356 W 18th St","","New York","NY","100114401","US","3477978858","",""
"1013544774","208 Medical Park Blvd","","Bristol","TN","376207343","US","4239894050","","4239903044"
"1295198893","111 Colchester Ave","","Burlington","VT","054011473","US","8028472700","",""
"1205254588","11100 Memorial Pkwy SW","","Huntsville","AL","358032122","US","2566504665","",""
"1447712088","9745 Laurel Canyon Road Suite A","","Arleta","CA","91331","US","","",""
"1487116893","1 Jarrett White Rd","","Tripler Army Medical Center","HI","968595001","US","8084336341","",""
"1306209523","7485 N Palm Ave","suite 103","Fresno","CA","937115764","US","5592218100","",""
"1306209523","1203 N Cherry St","","Tulare","CA","932742233","US","5596869097","",""
"1346747425","297 Spindrift Dr","","Williamsville","NY","142217894","US","7168312600","","7168312601"
"1346747425","316 Paseo Reyes Dr","","St Augustine","FL","320958464","US","9045445800","","9045445800"
"1619474665","11215 Metro Pkwy Ste 1","","Fort Myers","FL","339661206","US","2392082212","",""
"1619474665","821 Rebecca Ln","","Orefield","PA","180698841","US","3047675083","",""
"1932662921","12 Executive Park Dr NE Ste 142","","Atlanta","GA","303292206","US","4047275159","",""
"1871235077","13677 W McDowell Rd","","Goodyear","AZ","853952635","US","6238821500","",""
"1871235077","14200 W Celebrate Life Way","","Goodyear","AZ","853383007","US","6236632790","",""
"1568816312","443 S CO-105","","Palmer Lake","CO","80133","US","7199551800","5080",""
"1568816312","750 N Freedom Blvd","","Provo","UT","846011677","US","8013734760","","8013730639"
"1568816312","3330 Briarpatch Pl","","Colorado Springs","CO","809184735","US","7194138264","",""
"1568816312","6455 N Union Blvd Ste 201","","Colorado Springs","CO","809185844","US","7194138264","",""
"1417482712","506 6th St","New York Presbyterian Brooklyn Methodist Hospital","Brooklyn","NY","112153609","US","7187803000","",""
"1831147545","11220 72nd Dr","","Forest Hills","NY","113755631","US","7184413900","","7184808781"
"1114616265","600 S Pine Island Rd Ste 103","","Plantation","FL","333243178","US","9544742525","",""
"1376117242","714 Tiverton Ave","","Los Angeles","CA","900958361","US","","",""
"1376117242","714 Tiverton Ave Rm A0-111","","Los Angeles","CA","900958361","US","","",""
"1801021886","11215 Metro Pkwy Ste 1","","Fort Myers","FL","339661206","US","2392082212","",""
"1801021886","1250 S Cedar Crest Blvd Ste 405","","Allentown","PA","181036224","US","6104028420","",""
"1730568007","5841 S Maryland Ave # Mc6038","","Chicago","IL","606371443","US","7738341628","","7737021001"
"1730568007","5758 S Maryland Ave # Mc9010","","Chicago","IL","606371426","US","7737021860","",""
"1730702630","4055 Valley View Ln Ste 700","","Dallas","TX","752445045","US","8559845121","",""
"1730702630","350 Terracina Blvd","","Redlands","CA","923734897","US","9093355500","",""
"1467145326","9270 Joliet Rd","","Hodgkins","IL","605254186","US","7088543990","",""
"1124549613","2512 Heather Pl","","Escondido","CA","920273534","US","7606902820","","7602945949"
"1467185231","2239 Highway 20 SE Ste H","","Conyers","GA","300132087","US","7709213565","",""
"1346656451","12000 E 12 Mile Rd","","Warren","MI","480933570","US","5865764140","","5865764146"
"1346656451","44045 Riverside Pkwy","","Leesburg","VA","201765101","US","7038586000","","7038586900"
"1346656451","44045 Riverside Pkwy Ste 100","","Leesburg","VA","201765101","US","7038588878","","7038588170"
"1225293525","777 Bannock St","MC 1700","Denver","CO","802044507","US","3034367390","",""
"1780468066","2 M St NE Apt 628","","Washington","DC","200023989","US","7706542349","",""
"1992487714","2731 E Gelid Ct","","Anaheim","CA","928065032","US","7146105680","",""
"1831973114","6906 Rave Meadow","","ARLINGTON","TX","760021753","US","6825538888","",""
"1407630783","2400 Miami Valley Dr","","Centerville","OH","454594774","US","9378942405","",""
"1396473393","700 Island Cottage Rd","","Rochester","NY","146122312","US","5853686100","",""
"1639325335","118 Parsonage Rd","","Edison","NJ","088372424","US","7323216800","",""
"1639325335","614 Pennsylvania Ave","","Elizabeth","NJ","072011265","US","9083557859","",""
"1104600485","19 Public Sq Ste 150","","Belleville","IL","622201695","US","6188254475","",""
"1407539604","5272 7th Green Dr","","Hollywood","SC","294495976","US","5024423087","",""
"1437932639","432 Lincoln St Apt 2","","Oxford","PA","193631520","US","4847533067","",""
"1225812506","9397 SW Home St","","Tigard","OR","972245970","US","6198072424","",""
"1730963034","10 Landing Ln Apt 6R","","New Brunswick","NJ","08901","US","","",""
"1730963034","10 Landing Ln Apt 6R","","New Brunswick","NJ","08901","US","","",""
"1477337756","817 Santa Fe St.","","Atchison","KS","66002","US","","",""
"1679357958","672 E Marigold Dr","","Pueblo","CO","810072112","US","7195010005","",""
"1265216543","2150 W 29th Ave Suite 320","","Denver","CO","80211","US","","",""
"1316721608","2101 Executive Dr Ste 430","","Hampton","VA","236662404","US","7579661270","",""
"1063296358","306 Exton Cmns","","Exton","PA","193412450","US","5709267739","",""
"1417731704","2700 Bailey Rd","","Leeds","AL","350943600","US","2056998204","",""
"1659155943","13222 Tremont Ct","","Fort Wayne","IN","468140007","US","2602228562","",""
"1700660008","3611 Henry St","","Norton Shores","MI","494414705","US","2312378898","",""
"1699559906","1041 Shelby St","","Indianapolis","IN","462031153","US","3177355355","",""
"1699559906","6038 N Keystone Ave","","Indianapolis","IN","462202590","US","3177355355","",""
"1689458994","1507 W 21st St N","","Wichita","KS","672032449","US","3162217310","",""
"1265216576","4301 Garden City Dr Ste 303","","Landover","MD","207856105","US","2406671679","","2406671712"
"1902419864","6801 Roosevelt Blvd","","Jacksonville","FL","322121192","US","9045464103","",""
"1053862672","2309 S Cameron Ave","","Tampa","FL","336295701","US","3179671479","",""
"1841887205","2201 Cantu Ct Ste 110","","Sarasota","FL","342326254","US","9414045760","",""
"1972218832","10535 Hospital Way","","Mather","CA","956556062","US","9168067090","",""
"1699133900","Madigan Army Medical Center 9040 Jackson Ave","","Tacoma","WA","984311000","US","2539680208","",""
"1194358341","8300 Constantin Blvd","","Baton Rouge","LA","708093489","US","2253741470","","2253741646"
"1346215696","2300 N. Vermilion Ave.","","Danville","IL","618321735","US","2174317830","","2174317756"
"1972572535","13677 W McDowell Rd","","Goodyear","AZ","853952635","US","6238821500","",""
"1972572535","14200 W Celebrate Life Way","","Goodyear","AZ","853383007","US","6236632790","",""
"1578068607","280 Executive Park Dr Ste 100","","Concord","NC","280251838","US","7042374240","",""
"1184086852","500 University Dr","","Hershey","PA","170332360","US","7175315606","","7175310648"
"1770825846","2661 Butterfly Jasmine Trl","","Sarasota","FL","342401229","US","4235841539","",""
"1659076719","1801 W Wisconsin Ave","","Milwaukee","WI","532332186","US","6084220516","",""
"1821550831","3801 S National Ave Ste 900","","Springfield","MO","658075210","US","0000000000","",""
"1609405620","1215 Lee St.","Mail Stop '800501'","Charlottesville","VA","229080816","US","4349245321","","4349823816"
"1023404696","5000 Hennessy Blvd","","Baton Rouge","LA","708084375","US","2257654050","","2257654046"
"1124551015","263 Farmington Ave","","Farmington","CT","060301921","US","8606796679","",""
"1962999177","5340 N Tarrant Pkwy","","Fort Worth","TX","762446293","US","6829001444","","6829001444"
"1073047965","3600 Forbes Ave","Forbes Tower - Plaza Suite 140","Pittsburgh","PA","152133410","US","4126476340","",""
"1043744725","833 Chestnut St","Suite 210","Philadelphia","PA","191074414","US","2159558420","","2155030429"
"1043744725","2740 Prosperity Ave Ste 200","","Fairfax","VA","220314354","US","7033212600","","7033212603"
"1437475134","1459 Potomac Ave","","Hagerstown","MD","217423315","US","2402225996","","2404148638"
"1437475134","229 N Potomac St","","Hagerstown","MD","217403812","US","3017335858","","3017335626"
"1518354877","309 N George St","","Millersville","PA","175511523","US","5702954674","",""
"1023452562","416 Albemarle Sq","","Charlottesville","VA","22901","US","4346542830","","8337323632"
"1023452562","416 Albemarle Sq","","Charlottesville","VA","229017400","US","4349782126","",""
"1023452562","416 Albemarle Sq","","Charlottesville","VA","229017400","US","4349782126","",""
"1992064323","6030 S Rainbow Blvd Ste D2","","Las Vegas","NV","891182548","US","7023290229","","8666113024"
"1356797740","1700 6th Aveue South","","Birmingham","AL","35249","US","2059963130","",""
"1356797740","3601 4th St # MS 8340","","Lubbock","TX","794300002","US","8067433039","",""
"1356797740","800 E Dawson St","","Tyler","TX","757012036","US","9036065121","",""
"1962193201","109 Glenstone Ct","","Johnson City","TN","376013744","US","8126294840","",""
"1346932241","8936 Cumbria Ct","","Huntersville","NC","280788500","US","7049968716","",""
"1013396670","1086 Franklin St","","Johnstown","PA","159054305","US","8145349106","","8145343136"
"1013396670","1086 Franklin St","","Johnstown","PA","159054305","US","8145349106","","8145343136"
"1831757061","890 W Faris Rd Ste 470","","Greenville","SC","296054281","US","8644557887","",""
"1710326285","375 Main St. Suite 201","","Hackensack","NJ","07601","US","2018701735","",""
"1275159550","1130 Coffee Rd Ste 1A","","Modesto","CA","953554228","US","2095235991","",""
"1619288529","7810 Providence Rd","Ste 102","Charlotte","NC","282262954","US","7045436636","",""
"1619288529","5717 Albemarle Rd","","Charlotte","NC","282121634","US","7045632150","",""
"1619288529","5727 Prosperity Crossing Dr","Ste 1100","Charlotte","NC","282692206","US","7048639930","",""
"1619288529","10210 Couloak Dr","Ste E","Charlotte","NC","282167679","US","7048012000","",""
"1619288529","14214 Ballantyne Lake Rd","Ste 100","Charlotte","NC","282773372","US","7046672650","",""
"1619462330","720 Eskenazi Ave","","Indianapolis","IN","462025187","US","3178808546","","3178800438"
"1750721932","200 1st St SW","","Rochester","MN","559050002","US","5072842511","",""
"1073175709","3904 Hull Street Rd Ste A","","Richmond","VA","232241714","US","8042330007","",""
"1902423254","3343 Hampreston Way NW","","Kennesaw","GA","301447441","US","6787785157","",""
"1477124055","201 State St","","Erie","PA","165500001","US","4129510046","",""
"1285156620","980 Johnson Ferry Rd Ste 1040","","Atlanta","GA","303421609","US","7702923490","","4043002317"
"1154994069","10806 Monroe Rd Ste A","","Matthews","NC","281057305","US","7043215700","",""
"1447636840","701 E Rosser Ave","","Bismarck","ND","585014461","US","7017519500","","7017519508"
"1487063988","6480 Harrison Ave","","Cincinnati","OH","452477961","US","5137445214","",""
"1386428696","427 Fairview Ave","","Westwood","NJ","076751615","US","2019257680","",""
"1104600428","31700 Temecula Pkwy","","Temecula","CA","925925896","US","5089790407","",""
"1811771132","1100 Battlefield Blvd S Ste 15309","","Chesapeake","VA","233226619","US","2526211366","",""
"1881478105","241 McDaniel Dr Apt 8","","Richmond","KY","404752757","US","8593589101","",""
"1861276180","3401 Quebec St Ste 3500","","Denver","CO","802072339","US","7207063396","",""
"1467236687","350 5th Ave","","New York","NY","101180110","US","8187881003","",""
"1205610433","5784 S 900 E","","Murray","UT","841211689","US","3852463211","",""
"1265216493","2511 W Brookings St","","Sioux Falls","SD","571041700","US","6053676120","",""
"1831973064","250 E Highway 26","","Shoshone","ID","833525306","US","2084213780","",""
"1184408312","1329 Ling Dr","","Austell","GA","301685849","US","4708654007","",""
"1245014471","21825 Ronald Dr","","Lexington Park","MD","206532904","US","7039270795","",""
"1609861442","1032 Mar Walt Drive","Suite 210","Fort Walton Beach","FL","325476661","US","8508638260","","8508626098"
"1609861442","378 Marketplace Blvd Ste 5","","Johnson City","TN","376042361","US","4234336370","",""
"1255649596","2015 Grand Concourse","","Bronx","NY","104534303","US","7182997295","","7182996797"
"1700557790","1462 Clifton Rd NE Ste 280","","Atlanta","GA","303221063","US","7703428171","",""
"1659624948","69175 Ramon Rd Bldg A","","Cathedral City","CA","922343344","US","7603206776","",""
"1659624948","1801 E Tahquitz Canyon Way Ste 102","","Palm Springs","CA","922627121","US","7603275900","",""
"1467051466","5 S Washington Ave","","Jermyn","PA","184331121","US","5702300019","",""
"1811651573","Medical Center Boulevard","","Winston Salem","NC","271570001","US","3367162011","",""
"1306837299","601 N Clyde Morris Blvd Ste A","","Daytona Beach","FL","321142300","US","9042028550","","9043937808"
"1659088318","21635 Biden Ave","","Georgetown","DE","199474574","US","3022607360","",""
"1891855391","85 E Main St","","Norton","MA","027662307","US","5082858550","","5082858556"
"1891855391","105 E Main St","","Milford","MA","017572709","US","5084786868","","5084736065"
"1639687890","150 Glenwood Ln","","Birmingham","AL","352425700","US","2059692880","","2057953261"
"1043840572","75 Francis St","","Boston","MA","021156110","US","6177326290","",""
"1386616548","7500 Hospital Dr","","Dublin","OH","430168518","US","6145448000","",""
"1386616548","1010 Refugee Rd","","Pickerington","OH","431479653","US","6145664919","",""
"1386616548","3535 Olentangy River Rd","","Columbus","OH","432143908","US","6145664919","",""
"1841944089","1635 Aurora Ct","","Aurora","CO","800452541","US","7208480000","",""
"1639419351","6736 Laurel Canyon Blvd","Suite 200","North Hollywood","CA","916061538","US","8187558786","",""
"1639419351","5900 Balcones Dr Ste 100","","Austin","TX","787314298","US","4695549992","",""
"1689374142","1100 Wilford Hall Loop","","Jbsa Lackland","TX","782365638","US","0000000000","",""
"1740875293","3401B Raleigh Road Pkwy W","","Wilson","NC","278968217","US","2522910767","","2522910921"
"1316070212","137 W Cedar St","","Kahoka","MO","634451699","US","6607271111","","6607271111"
"1700202793","75 Francis St","","Boston","MA","021156110","US","6177327678","",""
"1700202793","1215 Lee St","","Charlottesville","VA","229080816","US","4349245338","",""
"1891298881","8419 51st Ave Apt 4M","","Elmhurst","NY","113735807","US","3477381199","","8006553085"
"1952677346","Naval Medical Center","100 Brewster Blvd","Camp Lejeune","NC","28547","US","9104504561","",""
"1528509726","505 Parnassus Ave","","San Francisco","CA","941432204","US","4154761000","",""
"1528509726","281 1st Ave","","New York","NY","100032925","US","2128441808","",""
"1528509726","757 Westwood Plz","","Los Angeles","CA","900958358","US","3108259111","",""
"1194285494","4940 Eastern Ave","","Baltimore","MD","212242735","US","4105500350","",""
"1194285494","600 N Wolfe St","","Baltimore","MD","212870005","US","4109552000","",""
"1295129732","5425 Southfield Ctr","","Saint Louis","MO","631235984","US","3145435258","","3145435262"
"1376905737","3901 Rainbow Blvd","Mail Stop 3015","Kansas City","KS","661608500","US","6083302624","",""
"1376905737","12605 E 16th Ave","","Aurora","CO","800452545","US","7208480000","",""
"1477896306","935 Elizaville Ave","","Flemingsburg","KY","410419210","US","6068493374","","6068452158"
"1477896306","234 Medical Cir Ste 1","","Morehead","KY","403511194","US","6067846641","","6067837735"
"1720344294","580 Saint Johnsbury Rd","","Littleton","NH","035613437","US","6034449390","",""
"1720344294","4700 E. Hale Parkway Suite 400","","Denver","CO","80220","US","3033210302","","3033219296"
"1376906792","720 Westview Dr SW","","Atlanta","GA","303101458","US","4047561368","",""
"1043576051","131 Providence Rd Ste 201","","Charlotte","NC","282071235","US","3367656181","","3367658492"
"1043576051","145 Kimel Park Dr Ste 330","","Winston Salem","NC","271036972","US","3367656181","","3367658491"
"1043576051","330 Billingsley Rd Ste 210","","Charlotte","NC","282115055","US","3367656181","","3367658492"
"1750910576","2150 Pennsylvania Ave NW","","Washington","DC","200373201","US","2027413000","",""
"1841931862","811 W Wellington Ave","","Chicago","IL","606575123","US","7738716138","",""
"1558894477","2000 E Greenville St Ste 3600","","Anderson","SC","296211725","US","8645121115","",""
"1558894477","161 Walker St","","Columbus","NC","287229433","US","8288942222","","8288942229"
"1811316680","1801 S 5th St Ste 126","","McAllen","TX","785032915","US","9566822463","",""
"1609230903","600 N Wolfe St","","Baltimore","MD","212870005","US","4106144951","","4105027711"
"1609230903","300 Davey Glen Rd Apt 3728","","Belmont","CA","940022110","US","4173160094","",""
"1316162795","5070 Ion Dr Ste 201","","Sparks","NV","894361612","US","7753227811","","7753221431"
"1316162795","10745 Double R Blvd","","Reno","NV","895218979","US","7753227811","","7753221431"
"1700405578","3400 Spruce St","","Philadelphia","PA","191044238","US","2156629990","",""
"1417121260","601 N Clyde Morris Blvd Ste A","","Daytona Beach","FL","321142300","US","9042028550","","9043937808"
"1679927776","5323 Harry Hines Blvd","","Dallas","TX","753909178","US","2146488004","",""
"1679927776","3001 S Hanover St","Department of Medicine","Baltimore","MD","212251233","US","4103503565","","4103540186"
"1932762853","2006 California Ave","","Santa Monica","CA","904034506","US","3108820526","",""
"1881337905","1194 Dutchmans Creek Dr","","Brunswick","MD","217169786","US","2402156310","",""
"1881337905","1 Frederick Health Way","","Frederick","MD","217019435","US","2402156310","",""
"1881337905","75 Thomas Johnson Dr","","Frederick","MD","217024895","US","2402156310","",""
"1881337905","16403 Old Emmitsburg Rd","","Emmitsburg","MD","217278929","US","2402156310","",""
"1881337905","400 W 7th St","","Frederick","MD","217014506","US","2402156310","",""
"1881337905","3430 Worthington Blvd","","Frederick","MD","217047017","US","2402156310","",""
"1881337905","230 W Patrick St","","Frederick","MD","217016945","US","2402156310","",""
"1881337905","3000D Ventrie Ct","","Myersville","MD","217737817","US","2402156310","",""
"1881337905","1562 Opossumtown Pike","","Frederick","MD","217024920","US","2402156310","",""
"1881337905","194 Thomas Johnson Dr","","Frederick","MD","217024679","US","2402156310","",""
"1881337905","7211 Bank Ct","","Frederick","MD","217038483","US","2402156310","",""
"1881337905","501 W 7th St","","Frederick","MD","217014586","US","2402156310","",""
"1881337905","504 E Ridgeville Blvd","","Mount Airy","MD","217715942","US","2402156310","",""
"1881337905","141 Thomas Johnson Dr","","Frederick","MD","217024502","US","3018460100","",""
"1376030015","917 Av Tito Castro","","Ponce","PR","00733","US","7876695173","",""
"1376030015","315 S Manning Blvd","","Albany","NY","122081707","US","5185251550","",""
"1982961512","8 MDG, Unit 2022","","APO","AP","96264","US","3157823029","",""
"1982961512","78 OMRS/Dental Clinic","655 Seventh Street","Robins AFB","GA","31098","US","4783278487","",""
"1588351357","1635 Aurora Ct","","Aurora","CO","800452541","US","7208480000","",""
"1952575854","601 N Clyde Morris Blvd Ste A","","Daytona Beach","FL","321142300","US","9042028550","","9043937808"
"1295900959","1000 Blythe Blvd","","Charlotte","NC","282035812","US","7043550221","","7043550770"
"1164488367","1320 W Main St","","Newark","OH","430551822","US","2205644218","","2205644217"
"1164488367","7500 Hospital Dr","","Dublin","OH","430168518","US","6145448000","",""
"1417248089","800 rose st.","","lexington","KY","40505","US","8593238040","",""
"1417248089","800 rose st.","","lexington","KY","40505","US","8593238040","",""
"1821523713","340 NW Commerce Dr","","Lake City","FL","320554709","US","3867199000","",""
"1821523713","1824 King St Ste 300","","Jacksonville","FL","322044736","US","9043881820","","9043881827"
"1700577442","405 Mabry Pl","","Atlanta","GA","303191098","US","4044934941","",""
"1619935152","24285 Karim Blvd","","Novi","MI","483752952","US","2485360410","","2485360420"
"1124554423","1215 Lee St","","Charlottesville","VA","229080816","US","4349245700","","4349241736"
"1295425510","182 Runnymede Rd","","West Caldwell","NJ","070068117","US","9083778773","",""
"1326660572","2823 Fresno St","","Fresno","CA","937211324","US","5594432682","","5594432681"
"1962068940","1330 W Ramsey St Ste B","","Banning","CA","922204477","US","9518497142","",""
"1538376496","601 N Clyde Morris Blvd Ste A","","Daytona Beach","FL","321142300","US","9042028550","","9043937808"
"1144911181","12605 E 16th Ave","","Aurora","CO","800452545","US","7208480000","",""
"1295789345","4500 San Pablo Rd S","","Jacksonville","FL","322241865","US","9049532000","",""
"1013408301","3210 Landmark Dr Ste D","","North Charleston","SC","294188486","US","8432420645","",""
"1902334758","202 S Park St","","Madison","WI","537151507","US","6084176090","","6084176281"
"1265475867","850 N 11th St","","Philadelphia","PA","191231957","US","2157691100","","2157691117"
"1821036435","85 E Wilson Bridge Rd","","Worthington","OH","430852301","US","6142627246","","6142624699"
"1518160720","2653 W Ogden Ave Fl 3","","Chicago","IL","606081647","US","7086287780","","7082735554"
"1790214047","9500 Euclid Ave # Mailg-21","","Cleveland","OH","441953800","US","2164449043","",""
"1790214047","1650 W Harrison St # 466","","Chicago","IL","606123800","US","3129425000","",""
"1538736269","950 W. Aztec Ave","","Gallup","NM","87301","US","8662732451","",""
"1538736269","500 Hudson","","Silver City/Deming","NM","88061","US","8662732451","",""
"1538736269","6565 Americas Parkway NE Ste. 200","","Albuquerque","NM","87110","US","8662732451","",""
"1538736269","1012 Marquez Place Ste 106B","","Sana Fe","NM","87505","US","8662732451","",""
"1538736269","201 E Las Cruces Ave Ste 1501","","Las Cruces","NM","880013488","US","8662732451","",""
"1538736269","301 N. Canyon St.","","Carlsbad","NM","88220","US","8662732451","",""
"1538736269","1224 W. 21st. Street","","Clovis","NM","88101","US","8662732451","",""
"1538736269","1211 8th St Ste c","","Alamogordo","NM","883106774","US","8662732451","",""
"1538736269","201 N. 4th St","","Artesia & Roswell","NM","88210","US","8662732451","",""
"1538736269","221 N. Kansas Street Ste. 700","","El Paso","TX","79901","US","8662732451","",""
"1538736269","2705 S. Alma School Rd. Ste #2","","Chandler","AZ","85286","US","8662732451","",""
"1457845455","1364 Clifton Rd NE","","Atlanta","GA","303221064","US","4047122000","",""
"1760793780","440 Foley St","","Somerville","MA","021451213","US","8572820777","",""
"1841641438","450 Clarkson Ave","","Brooklyn","NY","112032012","US","7182701421","",""
"1497983449","13123 E 16th Ave","","Aurora","CO","800457106","US","7207771234","",""
"1154618619","3650 NW DeVane St","","Lake City","FL","320558730","US","9042028550","","9043937808"
"1154618619","2418 E Plaza Dr","","Tallahassee","FL","323085301","US","8506294861","","8506294859"
"1154618619","8705 Perimeter Park Blvd Ste 8","","Jacksonville","FL","322166353","US","9042967771","","9042967772"
"1154618619","1747 Baptist Clay Dr Ste 100","","Fleming Island","FL","320038503","US","9042028550","","9043937808"
"1154618619","601 N Clyde Morris Blvd Ste A","","Daytona Beach","FL","321142300","US","9042028550","","9043937808"
"1538575519","501 Sunset Ln","","Culpeper","VA","227013917","US","5408294100","","5408294392"
"1508474537","7629 S Staples St Ste 106A","","Corpus Christi","TX","784135388","US","3618882820","","3618882830"
